"","AAPL","MSFT","GOOGL","NKE","KO","TSLA","JNJ","V","GS","NFLX","AMT"
"1",24.603201,40.811428,26.477501,43.636986,32.595501,14.620667,84.305054,62.743172,168.610199,49.848572,85.292252
"2",23.910093,40.436127,25.973,42.934429,32.595501,14.006,83.716232,61.358189,163.345673,47.311428,84.059952
"3",23.912344,39.842636,25.332001,42.681866,32.843014,14.085333,83.304855,60.962837,160.04129,46.501431,83.837463
"4",24.247648,40.348862,25.2575,43.563511,33.252983,14.063333,85.143898,61.779613,162.426407,46.742859,84.718895
"5",25.179295,41.535839,25.345501,44.569138,33.655197,14.041333,85.813362,62.608227,165.019592,47.779999,85.50618
"6",25.206305,41.186722,25.035999,44.077805,33.28392,13.777333,84.643837,61.68018,162.487091,47.041428,85.06974
"7",24.585199,40.671787,24.853001,44.018116,32.98225,13.480667,84.353439,61.559433,160.509705,45.547142,84.701782
"8",24.80349,40.462315,25.09,43.6278,32.974518,13.616667,84.498642,61.739353,160.388275,46.255714,83.760452
"9",24.708973,40.113194,25.296499,43.030849,32.920368,12.846,83.88562,60.50354,156.311966,46.32,83.229904
"10",24.038361,39.69426,25.2005,42.617573,32.781151,12.791333,82.667664,59.928238,154.802856,46.251431,82.391289
"11",23.851583,40.357594,25.523001,42.700233,32.89716,12.871333,83.917877,60.359112,153.710083,48.191429,83.366821
"12",24.465931,40.488499,25.497,42.984928,33.384472,12.795333,81.69976,60.806576,152.322418,49.828571,83.11866
"13",24.65271,40.078289,26.019501,42.939011,33.539177,13.104667,82.191772,60.91074,153.640717,58.468571,82.793472
"14",25.294064,41.134373,26.865,44.013512,33.864052,13.441333,83.692039,60.986504,157.88176,61.205715,84.573425
"15",25.424593,41.17799,27.0975,44.155869,33.500488,13.419333,82.433746,61.14986,156.537521,62.494286,85.232323
"16",25.451593,41.029629,26.836,44.243118,33.260712,13.77,82.48214,60.733181,156.47673,63.794285,87.080734
"17",24.560446,37.233002,26.0595,43.393604,32.788879,13.732,82.345016,59.421597,153.068283,64.881432,85.908371
"18",25.948919,35.950016,25.6215,42.847176,32.425327,13.291333,81.852997,58.325443,150.084854,63.208572,84.61618
"19",26.756802,36.665695,25.661501,43.563511,32.564556,13.68,82.578941,58.713715,152.634659,63.400002,84.222557
"20",26.36524,35.260517,26.877501,42.360432,31.845201,13.573333,80.772171,60.349655,149.52977,63.114285,82.9646
"21",26.696037,36.028572,26.610001,42.208893,32.170082,14.062667,81.328712,60.451462,152.201035,63.009998,83.734795
"22",26.700541,36.307858,26.665001,42.865543,32.201012,14.557333,82.643463,61.504986,156.320648,65.274284,84.795906
"23",26.905323,36.517334,26.305,42.493607,32.239677,14.57,81.75621,62.712402,155.054382,64.101433,83.734795
"24",27.097363,37.049721,26.491501,42.860943,32.324772,14.732667,82.643463,64.348328,156.780304,64.129997,85.223778
"25",26.869177,37.014812,26.694,42.149212,32.061787,14.490667,81.546501,63.311371,159.08728,63.48,81.920601
"26",27.047655,36.971169,26.464001,41.864502,31.8916,14.498667,80.481796,62.847347,158.037888,63.295715,82.750679
"27",27.56728,37.180641,27.007999,42.590027,32.796627,14.419333,80.941566,62.631897,160.067383,64.849998,82.468269
"28",28.213428,36.988632,26.9,41.928783,32.773407,14.186667,80.965759,63.087296,162.747269,64.984283,82.117424
"29",28.570389,37.608311,27.300501,42.245636,32.618702,13.525333,79.400963,64.254227,164.594604,65.247147,82.125992
"30",28.710461,38.289074,27.558001,42.264,32.479473,13.584667,80.352745,63.950615,163.918106,66.585716,82.493958
"31",28.879908,38.30666,27.2505,42.181339,32.34024,13.623333,81.014145,64.24472,164.802734,67.137146,82.339928
"32",29.080976,38.262714,27.1325,42.989525,32.278362,13.630667,80.626991,63.829639,163.631958,67.865715,82.3228
"33",29.019976,38.23634,27.3225,43.026253,32.572289,14.114,81.223869,63.824909,164.013489,67.800003,81.518417
"34",29.2572,38.552769,27.09,43.591061,32.464001,14.474,81.435043,64.749924,166.095047,68.314285,82.605186
