"","AAPL","MSFT","GOOGL","NKE","KO","TSLA","JNJ","V","GS","NFLX","AMT"
"1",24.603201,40.811428,26.477501,43.636986,32.595501,14.620667,84.305054,62.743172,168.610199,49.848572,85.292252
"2",25.206305,41.186722,25.035999,44.077805,33.28392,13.777333,84.643837,61.68018,162.487091,47.041428,85.06974
"3",23.851583,40.357594,25.523001,42.700233,32.89716,12.871333,83.917877,60.359112,153.710083,48.191429,83.366821
"4",25.451593,41.029629,26.836,44.243118,33.260712,13.77,82.48214,60.733181,156.47673,63.794285,87.080734
"5",26.696037,36.028572,26.610001,42.208893,32.170082,14.062667,81.328712,60.451462,152.201035,63.009998,83.734795
"6",27.047655,36.971169,26.464001,41.864502,31.8916,14.498667,80.481796,62.847347,158.037888,63.295715,82.750679
"7",28.879908,38.30666,27.2505,42.181339,32.34024,13.623333,81.014145,64.24472,164.802734,67.137146,82.339928
"8",29.860411,38.754951,26.932501,43.816063,32.587765,13.607333,81.792435,64.624207,166.710831,67.839996,80.996399
"9",29.225569,38.042965,28.939501,45.117485,33.222042,13.304,83.124504,65.295441,166.407715,67.815712,84.102745
"10",28.129835,36.944214,27.9925,44.445133,31.473917,12.688,80.842087,62.899929,158.960342,62.151428,80.927925
"11",28.701422,36.654144,27.880501,44.458942,31.594688,12.982,81.134521,62.733894,165.798645,59.78857,80.542831
"12",28.622355,37.708935,28.877001,46.351692,31.563501,13.448,82.815826,63.658901,166.416351,62.611427,83.144318
"13",28.111759,35.739994,27.735001,46.204323,31.625895,12.584667,81.711205,62.055576,163.536591,59.527142,80.568527
"14",28.376089,36.40802,27.441999,46.439186,31.891056,13.844667,81.353813,63.089645,167.529984,63.049999,82.96492
"15",28.642685,37.146389,27.052,45.974068,31.50889,13.855333,81.711205,62.311714,174.959869,67.922859,81.796036
"16",29.058382,37.788048,27.459,46.121429,32.218628,14.629333,81.57312,64.522232,172.541275,79.668571,82.440613
"17",29.062897,43.123569,28.0695,46.130634,31.579081,15.496667,81.540634,63.886566,172.750092,80.407143,80.369308
"18",28.2428,40.679955,26.754,46.153652,31.711678,15.362,80.549706,62.302223,170.740326,80.077141,79.810638
"19",28.587641,41.866596,26.974501,47.04707,32.015862,16.212,81.670578,65.243393,175.246994,82.872856,79.879395
"20",29.506453,42.094448,27.6255,48.175354,32.249836,16.290001,84.147919,66.317284,178.422546,88.790001,81.065475
"21",29.896656,41.979435,27.709,47.240177,32.086037,16.763332,82.757057,66.108215,181.94632,89.507141,81.306137
"22",29.347649,41.015106,27.584499,47.078548,31.657089,16.394667,81.186165,64.825241,182.286636,89.348572,81.36628
"23",29.172958,41.085873,27.502001,47.969788,31.532946,16.760668,81.194359,66.18425,186.711395,95.094284,80.291946
"24",29.011887,41.333584,27.809,48.948753,31.965441,17.459333,82.11071,66.051193,187.287445,94.742859,83.056183
"25",28.925671,40.386963,27.897499,48.588566,31.470028,17.919333,81.096199,65.214882,185.733963,94.891426,81.812698
"26",28.685192,39.281078,27.367001,50.735847,31.053263,18.667999,80.539833,64.853729,182.574692,94.044289,81.959503
"27",27.968287,39.466866,27.8055,51.036007,31.760984,17.276667,81.431602,65.024796,180.82048,97.228569,82.39991
"28",29.40663,41.245132,34.980999,52.08886,32.437248,18.310667,81.881607,67.36274,185.419769,114.769997,83.72113
"29",28.245066,40.643524,32.738499,52.176609,31.800314,17.694,81.120728,71.088211,180.960144,109.339996,83.58297
"30",27.519093,41.315907,32.875,53.206371,32.303574,17.743334,81.987968,71.60141,178.970322,114.309998,82.132195
"31",26.326416,41.351288,33.219501,52.878513,32.846153,16.167334,80.875275,70.527473,177.547791,123.519997,86.05275
"32",26.426695,41.581314,34.468498,52.809246,32.437248,16.209999,80.842567,70.65255,176.308502,123.389999,87.287613
"33",24.102169,38.355686,32.2015,49.35051,31.084717,15.384667,78.781639,67.768219,163.845932,103.959999,83.505257
"34",25.818214,39.121544,32.984501,51.950344,31.021807,16.565332,78.460091,68.977142,164.41951,117.629997,80.69873
"35",24.902071,37.946033,31.448,50.781185,30.290495,16.128668,75.277832,65.83577,157.965332,98.790001,76.873184
"36",26.278561,38.328964,32.623501,51.799671,30.219797,16.879333,76.934937,66.644913,161.082932,95.690002,76.709129
"37",26.255775,39.281849,33.348999,53.96167,31.084347,17.613333,76.778267,67.377899,160.566254,100.300003,78.45507
"38",25.624506,38.551613,31.2125,56.54493,31.354027,16.562,75.327309,63.969963,151.519897,99.470001,75.694969
"39",25.246204,41.526016,33.584,57.531013,32.527912,16.41,78.122101,68.758202,158.245499,111.25,81.119713
"40",25.433071,41.855511,33.821499,58.530983,33.313164,14.372,79.136101,71.385529,157.833984,113.449997,82.282791
"41",25.462698,42.407646,34.997501,61.6698,33.305225,15.206667,80.743744,73.289391,162.659286,101.690002,84.01004
"42",26.271727,48.311951,36.556,60.822605,33.781124,14.350667,82.392601,74.422211,163.771439,103.040001,86.388229
"43",27.616306,47.412502,37.387001,60.734642,33.503513,14.252667,84.231041,71.604477,166.109695,107.639999,90.320122
"44",27.594906,48.231808,37.738499,60.405945,32.948299,15.022,83.13456,74.288948,172.30986,109.860001,84.287773
"45",26.132425,47.884495,37.521,57.156036,33.281425,14.287333,83.447853,75.242599,168.281479,111.349998,85.103661
"46",26.949488,48.583805,38.834999,61.322605,34.0746,14.516667,85.350266,76.396492,165.680542,125.029999,86.744133
"47",26.855654,49.507244,39.189499,61.716103,34.279972,15.812667,85.009758,76.205772,169.65741,125.370003,87.811691
"48",27.059353,50.018284,38.757,61.118546,34.375877,15.114667,85.059586,75.404709,160.73822,126.980003,84.088127
"49",25.287893,49.489307,38.004501,59.684551,34.423836,14.739333,86.479744,74.975563,159.938553,118.599998,83.422203
"50",24.541773,49.623795,38.356499,61.188145,34.599674,15.33,85.300423,73.793053,158.216248,116.239998,84.128922
"51",24.562376,50.484478,39.514999,58.705357,34.823467,15.872667,86.189049,74.718071,159.938553,116.709999,85.594742
"52",22.074549,46.772766,37.049999,55.549648,33.264927,14.376667,82.401993,70.369453,144.657333,114.559998,83.596687
"53",22.777184,47.615543,36.5695,54.305943,33.472733,13.745333,82.127937,70.379013,141.819046,107.059998,80.455597
